Wk,Day,Date,Home,xG,Score,xG,Away,Attendance,Venue,Referee
10,Sun,10/28/18,SPAL,0.6,0–3,0.7,Frosinone,13676,Stadio Paolo Mazza,Daniele Chiffi
10,Sun,10/28/18,Cagliari,1.6,2–1,1.7,Chievo,15805,Sardegna Arena,Marco Piccinini
10,Sun,10/28/18,Milan,1.7,3–2,0.5,Sampdoria,47347,Stadio Giuseppe Meazza,Fabio Maresca
10,Sun,10/28/18,Napoli,2.5,1–1,0.8,Roma,30037,Stadio San Paolo,Davide Massa
10,Mon,10/29/18,Lazio,1.1,0–3,1.5,Inter,40068,Stadio Olimpico,Massimiliano Irrati
,,,,,,,,,,
1,Wed,10/31/18,Milan,1.6,2–1,0.5,Genoa,46720,Stadio Giuseppe Meazza,Fabrizio Pasqua
,,,,,,,,,,
11,Fri,11/2/18,Napoli,1.8,5–1,1.1,Empoli,31370,Stadio San Paolo,Luca Pairetto
11,Sat,11/3/18,Inter,2.6,5–0,0.3,Genoa,67532,Stadio Giuseppe Meazza,Paolo Valeri
11,Sat,11/3/18,Fiorentina,1.4,1–1,1.7,Roma,30590,Stadio Artemio Franchi,Luca Banti
11,Sat,11/3/18,Juventus,1.3,3–1,0.7,Cagliari,40644,Allianz Stadium,Maurizio Mariani
11,Sun,11/4/18,Lazio,2.4,4–1,0.8,SPAL,35573,Stadio Olimpico,Marco Guida
11,Sun,11/4/18,Parma,0.9,0–0,0.4,Frosinone,14004,Stadio Ennio Tardini,Gianluca Manganiello
11,Sun,11/4/18,Sampdoria,1.3,1–4,2.7,Torino,20364,Stadio Comunale Luigi Ferraris,Gianluca Rocchi
11,Sun,11/4/18,Chievo,0.6,0–2,1.1,Sassuolo,8100,Stadio Marc'Antonio Bentegodi,Gianluca Aureliano
11,Sun,11/4/18,Bologna,1.9,1–2,2.2,Atalanta,19038,Stadio Renato Dall'Ara,Federico La Penna
11,Sun,11/4/18,Udinese,0.7,0–1,0.9,Milan,23540,Dacia Arena,Marco Di Bello
,,,,,,,,,,
12,Fri,11/9/18,Frosinone,0.4,1–1,1.4,Fiorentina,13378,Stadio Benito Stirpe,Fabrizio Pasqua
12,Sat,11/10/18,Torino,1.9,1–2,1.7,Parma,17431,Stadio Olimpico di Torino,Davide Massa
12,Sat,11/10/18,SPAL,1.6,2–2,1,Cagliari,13250,Stadio Paolo Mazza,Daniele Doveri
12,Sat,11/10/18,Genoa,0.6,1–2,2.2,Napoli,25365,Stadio Comunale Luigi Ferraris,Rosario Abisso
12,Sun,11/11/18,Atalanta,3.2,4–1,1.1,Inter,20633,Stadio Atleti Azzurri d'Italia,Fabio Maresca
12,Sun,11/11/18,Roma,2.4,4–1,1,Sampdoria,37582,Stadio Olimpico,Massimiliano Irrati
12,Sun,11/11/18,Chievo,2,2–2,1.7,Bologna,9500,Stadio Marc'Antonio Bentegodi,Daniele Orsato
12,Sun,11/11/18,Empoli,1.3,2–1,3.3,Udinese,7553,Stadio Carlo Castellani,Piero Giacomelli
12,Sun,11/11/18,Sassuolo,0.9,1–1,1.5,Lazio,11317,Stadio Città del Tricolore,Giampaolo Calvarese
12,Sun,11/11/18,Milan,0.8,0–2,1.1,Juventus,74729,Stadio Giuseppe Meazza,Paolo Mazzoleni
,,,,,,,,,,
13,Sat,11/24/18,Udinese,1,1–0,1.7,Roma,21986,Dacia Arena,Michael Fabbri
13,Sat,11/24/18,Juventus,1.6,2–0,0.3,SPAL,41052,Allianz Stadium,Federico La Penna
13,Sat,11/24/18,Inter,2.5,3–0,0.3,Frosinone,63645,Stadio Giuseppe Meazza,Luca Pairetto
13,Sun,11/25/18,Parma,1.7,2–1,1.8,Sassuolo,14354,Stadio Ennio Tardini,Paolo Valeri
13,Sun,11/25/18,Empoli,1.8,3–2,1.5,Atalanta,8736,Stadio Carlo Castellani,Gianluca Manganiello
13,Sun,11/25/18,Bologna,0.3,0–0,1.4,Fiorentina,21241,Stadio Renato Dall'Ara,Marco Di Bello
13,Sun,11/25/18,Napoli,1.7,0–0,0.5,Chievo,44468,Stadio San Paolo,Daniele Chiffi
13,Sun,11/25/18,Lazio,1.4,1–1,0.5,Milan,38269,Stadio Olimpico,Luca Banti
13,Sun,11/25/18,Genoa,2.3,1–1,0.7,Sampdoria,31756,Stadio Comunale Luigi Ferraris,Daniele Doveri
13,Mon,11/26/18,Cagliari,0.2,0–0,0.9,Torino,15804,Sardegna Arena,Fabrizio Pasqua
,,,,,,,,,,
14,Sat,12/1/18,SPAL,0.6,2–2,2.2,Empoli,12622,Stadio Paolo Mazza,Paolo Mazzoleni
