Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
14,Sun,12/2/18,20:45 (14:45),Alavés,1.4,1–1,1.9,Sevilla,17848,Estadio de Mendizorroza,José Sánchez,Match Report,
14,Mon,12/3/18,21:00 (15:00),Levante,1.7,3–0,0.8,Athletic Bilbao,19928,Estadio Ciudad de Valencia,Santiago Jaime,Match Report,
,,,,,,,,,,,,,
15,Fri,12/7/18,21:00 (15:00),Leganés,1.3,1–1,1.3,Getafe,11327,Estadio Municipal de Butarque,Pablo González,Match Report,
15,Sat,12/8/18,13:00 (07:00),Atlético Madrid,2.1,3–0,1.3,Alavés,55810,Estadio Wanda Metropolitano,Alejandro Hernández,Match Report,
15,Sat,12/8/18,16:15 (10:15),Valencia,1.2,1–1,1.3,Sevilla,40057,Estadio de Mestalla,Javier Estrada,Match Report,
15,Sat,12/8/18,18:30 (12:30),Villarreal,1.5,2–3,1.7,Celta Vigo,15720,Estadio de la Cerámica,Jesús Gil,Match Report,
15,Sat,12/8/18,20:45 (14:45),Espanyol,1,0–4,2.6,Barcelona,24037,RCDE Stadium,Carlos del Cerro,Match Report,
15,Sun,12/9/18,12:00 (06:00),Eibar,3.3,4–4,3,Levante,5328,Estadio Municipal de Ipurúa,Alberola Rojas,Match Report,
15,Sun,12/9/18,16:15 (10:15),Huesca,0.9,0–1,0.3,Real Madrid,7341,Estadio El Alcoraz,Mario Melero,Match Report,
15,Sun,12/9/18,18:30 (12:30),Real Sociedad,2.2,1–2,0.9,Valladolid,23260,Estadio Municipal de Anoeta,Ignacio Iglesias,Match Report,
15,Sun,12/9/18,20:45 (14:45),Betis,1.8,2–0,1.2,Rayo Vallecano,40218,Estadio Benito Villamarín,Juan Martínez,Match Report,
15,Mon,12/10/18,21:00 (15:00),Athletic Bilbao,2,1–0,0.1,Girona,34060,San Mamés,Eduardo Prieto,Match Report,
,,,,,,,,,,,,,
16,Fri,12/14/18,21:00 (15:00),Celta Vigo,0.7,0–0,0.6,Leganés,15134,Estadio de Balaídos,José Luis Munuera,Match Report,
16,Sat,12/15/18,13:00 (07:00),Getafe,0.5,1–0,0.7,Real Sociedad,9018,Coliseum Alfonso Pérez,Santiago Jaime,Match Report,
