,league,year,position,team,matches,wins,draws,loses,scored,missed,pts,xG,xG_diff,npxG,xGA,xGA_diff,npxGA,npxGD,ppda_coef,oppda_coef,deep,deep_allowed,xpts,xpts_diff,Team,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,IBS,IBSOG,IBG,OBS,OBSOG,OBG,DSP,OWN,TOUCH,TBOX,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
14,EPL,2018,16,Southampton,38,9,12,17,45,65,39,49.671325,4.671325000000003,45.86548,59.27171400000001,-5.728285999999991,56.98821400000002,-11.122733999999998,12.041886370515885,10.886729318778977,206,300,45.10750000000001,6.107500000000008,Southampton,45,27,0,24,3,484,162,547,666,162,341,48,256,54,153,699,428,420,346,10575,14296,88,776,2306,284,2092,275,94,31,210,69,14,378,3,22111,751,5,4,0,1,48,17,193,182,195,20,10,3,65,7,114,79,38,11,3,3,1,1067,1067,20,885,19,4,61,50,25,507
16,EPL,2018,17,Brighton,38,9,9,20,35,60,36,37.027868,2.027867999999998,32.46084400000001,62.46214499999999,2.462145,54.850534,-22.389689999999995,15.008271843371107,11.455870375765915,153,321,36.186,0.18599999999999994,Brighton,35,24,0,13,11,370,108,464,637,185,283,33,207,52,170,681,392,463,307,10552,14110,103,836,2265,263,2069,226,84,34,144,24,1,338,0,21439,618,6,5,0,1,51,20,156,138,158,12,1,0,60,7,111,69,47,3,10,10,0,921,921,9,1146,4,4,90,22,23,509
17,EPL,2018,18,Cardiff,38,10,4,24,34,69,34,41.7697266,7.7697265999999985,38.7250676,66.503167,-2.496832999999995,61.174976,-22.449908399999998,18.46297272076852,6.019176202017512,143,357,37.44920000000001,3.449200000000012,Cardiff,34,20,0,13,7,417,126,533,564,148,295,32,218,56,147,655,375,374,394,6530,10224,78,978,2265,259,2267,252,93,29,166,34,5,332,0,17511,748,4,3,0,1,61,14,168,156,169,13,2,0,69,10,141,103,40,17,7,7,3,980,980,11,873,10,3,77,32,19,476
18,EPL,2018,19,Fulham,38,7,5,26,34,81,26,42.621864,8.621863999999995,40.338362,73.58661000000002,-7.413389999999992,68.25856000000002,-27.920198,16.566611432665667,12.021677461265831,171,335,33.6044,7.604399999999997,Fulham,34,24,0,22,2,454,146,434,611,143,352,48,278,48,144,597,362,423,345,14212,17697,89,750,2342,353,2033,247,94,30,208,53,4,486,3,25209,646,3,2,0,1,20,4,161,126,162,10,2,0,81,5,147,111,37,16,7,7,1,970,970,29,1096,14,0,90,45,22,567
19,EPL,2018,20,Huddersfield,38,3,7,28,22,76,16,29.002263000000006,7.002263000000003,28.241097999999997,67.194016,-8.805983999999993,61.10473900000001,-32.863640999999994,12.825775161703007,11.012888461756962,133,276,29.610599999999994,13.610599999999994,Huddersfield,22,13,0,8,5,400,117,531,769,168,283,26,222,48,130,706,424,420,371,12059,15911,105,860,2352,229,2150,232,73,17,170,46,5,401,1,23236,626,1,1,0,0,62,14,162,146,163,15,8,1,76,5,114,82,34,8,8,8,1,657,657,21,1198,5,1,63,23,10,440
0,La_liga,2018,1,Barcelona,38,26,9,3,90,36,87,83.279534,-6.720466000000003,76.584704,44.93094999999999,8.930949999999989,43.44439999999999,33.14030400000001,9.015263901517137,16.404884844687324,417,171,73.96039999999998,-13.039600000000007,Barcelona,90,61,0,56,5,560,253,391,394,84,409,103,323,21,101,538,346,410,559,22340,25308,54,461,2271,442,1979,346,180,77,216,75,13,435,1,32062,1135,9,8,0,1,38,8,205,103,208,50,16,6,36,17,95,64,34,6,2,2,0,505,505,9,1303,61,1,102,79,50,749
4,La_liga,2018,2,Atletico Madrid,38,22,10,6,55,29,76,51.872324000000006,-3.1276759999999935,48.73093600000002,41.43405900000001,12.434059000000005,37.71779400000001,11.013142000000002,11.066204538602877,11.10477810643612,252,190,59.4276,-16.572400000000002,Atletico Madrid,55,36,0,28,8,444,160,463,590,132,353,56,259,54,94,785,487,476,457,14111,17510,65,693,2311,358,2272,259,107,41,187,55,14,413,2,24647,831,4,3,0,1,48,14,217,179,219,21,8,3,29,20,110,72,38,5,5,5,0,776,776,10,1045,29,1,80,45,32,565
1,La_liga,2018,3,Real Madrid,38,21,5,12,63,46,68,68.65477299999999,5.654773000000006,61.96552500000001,48.67575300000001,2.675753000000008,42.729664,19.235861,8.896578362734846,14.782500589542506,341,168,64.7728,-3.2271999999999963,Real Madrid,63,39,0,32,7,594,216,373,762,176,466,78,370,55,78,626,395,446,554,19536,22337,114,499,2221,453,2103,387,163,58,209,55,5,356,0,29685,1169,9,9,0,0,58,15,221,143,221,19,6,1,46,12,93,56,40,9,8,8,1,548,548,5,1535,26,2,112,62,40,749
6,La_liga,2018,4,Valencia,38,15,16,7,51,35,61,61.88494899999998,10.884948999999976,56.56901899999999,42.854366999999996,7.8543670000000025,36.90841000000001,19.660608999999994,12.964657587277866,9.474006705870321,278,215,65.16159999999999,4.161599999999994,Valencia,51,38,0,30,8,477,166,417,715,182,370,71,278,53,120,599,384,463,521,12700,15951,111,618,2290,331,2040,306,126,47,172,41,4,337,2,23153,872,7,5,0,2,45,12,196,161,198,18,4,1,35,13,121,68,53,4,8,8,1,815,815,11,1150,28,1,75,56,35,578
2,La_liga,2018,5,Sevilla,38,17,8,13,62,47,59,69.16230599999999,7.162305999999987,64.54245300000001,46.71073199999999,-0.28926800000000696,41.508814999999984,23.033638,10.65203081464584,10.020620488210042,321,211,65.07809999999999,6.078099999999992,Sevilla,62,46,0,42,4,530,178,365,812,188,393,82,312,32,114,600,408,536,468,13450,16892,135,679,2336,349,2062,347,142,58,185,38,4,391,0,24299,1007,6,5,0,1,41,10,223,163,223,11,1,0,47,11,110,64,46,9,7,7,1,765,765,11,1164,32,3,111,59,48,598
9,La_liga,2018,6,Getafe,38,15,14,9,48,35,59,47.034178,-0.9658219999999956,42.578151,44.226040999999995,9.226041000000002,39.023109999999996,3.5550409999999992,8.766903297859301,5.700771442750934,186,196,53.1872,-5.812799999999997,Getafe,48,34,0,30,4,401,129,453,638,156,294,44,210,50,81,605,357,642,507,7149,11228,101,868,2370,298,2240,274,105,42,128,25,6,366,2,18759,739,6,6,0,0,60,20,158,106,159,13,5,0,35,13,102,75,26,18,7,7,2,855,855,30,1188,19,1,102,34,27,575
8,La_liga,2018,7,Espanyol,38,14,11,13,48,50,53,50.15734599999999,2.1573459999999898,47.18422799999999,54.61608600000002,4.616086000000017,48.54874700000001,-1.364519000000001,9.856488791776902,9.819171281248204,241,241,50.0883,-2.9117000000000037,Espanyol,48,24,0,21,3,475,160,409,544,115,332,51,276,32,134,657,394,531,514,12998,16245,74,618,2168,311,2069,274,104,38,206,61,10,374,2,23399,735,4,4,0,0,33,8,175,118,175,25,5,2,50,10,121,90,33,2,8,8,2,891,891,11,1161,33,0,84,45,29,518
15,La_liga,2018,8,Athletic Club,38,13,14,11,41,45,53,44.441324,3.4413239999999945,38.917078999999994,47.15881799999999,2.158817999999989,43.44242800000001,-4.5253489999999985,8.304491872691997,11.302557686903405,221,185,50.01219999999999,-2.9878000000000067,Athletic Club,41,27,0,24,3,387,140,451,727,169,302,44,223,49,93,644,382,580,499,12162,15814,104,963,2286,284,2343,270,113,39,119,29,2,344,0,22942,753,7,5,0,2,62,24,153,131,153,6,2,1,45,10,78,47,28,15,5,5,0,770,770,18,1185,19,4,74,39,24,539
