team,INT,CR,ACR,CCOP,CCSP,BLK,TKL,FC,FS,P,AW,BR,DR,DW,IBS,OBS,DSP,PK,FKCR,CRN,FKS,SV,AKS,PKC,CL,PUNCH,ALB,ATB,LMT,TOFF,BCS
Espanyol,21.69991511035654,28.862478777589136,6.101443123938879,14.643463497453311,1.6977928692699489,7.109507640067911,34.857809847198645,28.172750424448218,27.270797962648558,689.6222410865873,32.788624787775895,115.02546689303905,16.500424448217316,109.77292020373514,14.537351443123939,10.929541595925299,19.84295415959253,0.2122241086587436,1.7508488964346351,9.284804753820035,1.3264006791171479,6.419779286926995,0.1061120543293718,0.4244482173174872,47.27292020373514,0.583616298811545,61.59804753820034,1.7508488964346351,0.0,4.4567062818336165,1.5386247877758914
Athletic Club,23.880122842317057,38.49412263051996,8.94842740654453,11.807688234671183,2.5945144551519643,4.924282537329238,34.0993328391401,30.710579265064066,26.421688022874083,643.9690776236364,50.99015143492534,121.04204172402837,15.037593984962404,124.06015037593983,14.296304140633273,6.300963676797627,18.214550460658685,0.3706449221645663,3.2828550248861585,8.10123901302552,0.31769564756962826,4.130043418405168,0.7942391189240706,0.2647463729746902,40.77094143810229,0.9530869427088847,62.74489039500158,1.0060362173038229,0.21179709837975216,3.9182463200254154,1.270782590278513
Real Sociedad,21.63290237198412,31.914893617021274,9.213071363127355,12.521632902371984,2.1887407105772168,5.548203196579456,29.62435101292884,25.043265804743967,28.19912450371577,687.010078387458,36.801384505751805,116.20686144762293,20.563982490074316,113.45821032271199,13.28514710373613,8.551359055278429,23.719841189046118,0.5090094675760969,3.25766059248702,9.060368522854525,0.814415148121755,5.039193729003359,0.6108113610913163,0.15270284027282907,40.16084699175405,0.5599104143337066,55.27842817876412,1.1707217754250228,0.10180189351521937,4.682887101700091,1.5270284027282908
Alaves,23.011564786405476,43.013924946896395,10.679726221383055,13.393910785933443,2.6551805522775545,6.903469435921642,38.11659192825112,32.511210762331835,29.620014160962945,516.1670993627566,52.80859098418693,132.46400755251358,15.81307528911966,134.23412792069863,15.400047203209818,9.912674061836206,20.002360160490912,0.17701203681850364,3.540240736370073,8.55558177956101,0.9440641963653528,7.1394854850129805,1.0030682086381875,0.3540240736370073,59.06301628510739,1.0030682086381875,64.96341751239083,0.29502006136417275,0.29502006136417275,3.422232711824404,1.180080245456691
Real Betis,15.993265993265995,26.13857877015772,5.759347864611023,11.341485025695551,1.77210703526493,3.54421407052986,27.290448343079923,19.271664008506114,24.587985114300903,819.732411837675,21.30958709906078,91.52932837143365,19.315966684387735,91.39642034378878,11.562998405103668,8.107389686337056,17.366648945596314,0.31011873117136274,1.8164097111465534,8.240297713981924,1.3733829523303207,4.563175615807196,0.7531454899875953,0.22151337940811625,28.398015240120504,0.4430267588162325,49.175970228601805,1.0189615452773348,0.2658160552897395,3.4999113946482368,1.1075668970405814
Eibar,18.62348178137652,53.491902834008094,13.461538461538462,13.765182186234817,3.846153846153846,2.6821862348178134,32.388663967611336,26.417004048582996,20.091093117408906,596.2550607287449,52.0748987854251,130.3643724696356,17.105263157894736,119.63562753036436,17.864372469635626,9.058704453441294,19.635627530364374,0.4048582995951417,3.6943319838056676,11.285425101214575,1.0121457489878543,4.200404858299595,1.5182186234817814,0.20242914979757085,32.28744939271255,0.6072874493927125,77.47975708502024,0.35425101214574894,0.25303643724696356,4.65587044534413,1.7206477732793521
Leganes,25.547013601419277,43.99763453577764,11.945594322885867,13.837965700768775,2.7794204612655236,4.967474866942638,36.014192785334124,31.992903607332938,23.891188645771734,580.3666469544647,56.357185097575396,133.17563571850977,14.488468361916027,128.14902424600828,16.794795978710823,8.042578356002366,18.036664695446483,0.2956830277942046,3.548196333530455,8.219988172678889,0.8279124778237729,5.440567711413364,0.5913660555884092,0.23654642223536368,51.153163808397395,1.5966883500887048,71.49615612063867,0.47309284447072736,0.05913660555884092,4.435245416913069,1.0053222945002958
Levante,23.8310368195166,38.06189292974926,7.680144567427151,13.157894736842104,1.9200361418567877,8.527219335893381,32.3017845041789,28.292297266772078,27.896995708154506,556.6410661847752,28.06641066184775,128.52947820194262,22.249830585046304,108.5385136661396,15.416760786085383,9.713124011746103,24.169866726903095,0.39530155861757393,2.936525864016264,11.407273548678562,1.8070928393946237,9.148407499435283,0.734131466004066,0.5082448610797379,44.89496272871019,1.0164897221594758,57.54461260447255,1.4117912807770499,0.22588660492432797,4.80009035464197,2.202394398012198
Villarreal,21.16115029842648,33.53228431904504,7.325013564839935,15.62669560499186,2.2788931090613134,7.704829083016821,36.299511665762346,28.10634834508953,22.68041237113402,694.628323385784,34.943027672273466,117.25447639717852,18.7194791101465,110.63483450895279,17.634291915355398,9.278350515463918,18.448182311448726,0.32555615843733043,1.7362995116657622,9.115572436245253,0.43407487791644056,7.487791644058601,0.6511123168746609,0.27129679869777534,44.65545306565383,0.705371676614216,65.00271296798698,1.465002712967987,0.05425935973955507,5.154639175257732,1.465002712967987
Celta Vigo,19.51967296882984,33.67399080224833,6.847215125191619,13.847726111394993,1.7884517118037813,5.365355135411344,32.44762391415431,23.403168114460907,25.08942258559019,718.8042922841083,35.00255493101686,110.57741440981093,19.213081246806336,110.32192130812469,14.563106796116504,8.58456821665815,18.95758814512008,0.35769034236075625,2.810424118548799,8.329075114971896,1.1241696474195197,5.4675523760858455,0.7664793050587634,0.35769034236075625,41.38988247317322,0.6642820643842616,56.66836995401124,0.6642820643842616,0.05109862033725089,4.59887583035258,1.379662749105774
Real Valladolid,21.4404432132964,44.54293628808865,8.365650969529087,12.853185595567869,2.3268698060941833,6.26038781163435,39.612188365650965,28.864265927977844,29.25207756232687,612.02216066482,34.29362880886427,125.42936288088644,15.789473684210527,117.22991689750693,13.019390581717452,9.916897506925208,19.2797783933518,0.3878116343490305,3.1578947368421053,11.135734072022162,1.3296398891966759,5.92797783933518,0.16620498614958448,0.4986149584487535,43.21329639889197,0.6094182825484765,64.93074792243767,0.3878116343490305,0.2770083102493075,5.3185595567867034,0.8310249307479225
Girona,23.440043407487792,40.31470428648942,9.495387954422139,11.34020618556701,2.6044492674986435,6.7281606077048295,33.31524688008682,29.137276180141075,28.920238741182857,659.3597395550732,42.10526315789474,122.8431904503527,17.145957677699403,119.6961475854585,13.402061855670103,8.193163320672816,20.075963103635377,0.32555615843733043,3.3640803038524147,7.379272924579491,1.1394465545306567,8.464460119370592,0.3798155181768855,0.43407487791644056,45.903418339663595,0.5968529571351059,62.66956049918611,0.9766684753119913,0.10851871947911014,3.2555615843733046,1.356483993488877
SD Huesca,25.05171225005746,44.24270282693634,10.687198345207998,14.824178349804644,2.8729027809698926,6.14801195127557,40.85267754539186,33.26821420363135,25.798666973109633,556.7685589519651,44.41507699379453,130.14249597793614,17.92691335325213,126.52263847391404,16.72029418524477,10.284991955872213,20.397609744886235,0.4022063893357849,2.93036083658929,9.652953344058838,1.091703056768559,6.550218340611354,0.1723741668581935,0.5171225005745805,50.7354631119283,0.5171225005745805,64.23810618248679,0.5171225005745805,0.344748333716387,5.401057228223397,1.5513675017237418
Rayo Vallecano,23.072833599149387,41.6267942583732,9.14407230196704,13.503455608718767,2.977139819245082,4.093567251461988,34.609250398724086,30.14354066985646,24.455077086656033,606.6454013822434,29.39925571504519,122.59436469962786,28.282828282828284,115.62998405103669,13.397129186602871,11.004784688995215,26.262626262626263,0.2658160552897395,2.7644869750132908,9.888357256778308,1.169590643274854,6.0606060606060606,0.584795321637427,0.584795321637427,45.77352472089314,0.6911217437533227,55.07708665603403,0.6911217437533227,0.15948963317384368,3.774587985114301,1.3290802764486975
Paris Saint Germain,14.90066225165563,25.66225165562914,5.751132798884629,13.50644823980481,1.7427675148135238,4.0519344719414425,30.585569884977343,20.651795050540258,19.867549668874172,914.2994074590449,18.168351341930986,98.29208783548276,19.69327291739282,87.05123736493553,17.34053677239456,7.188915998605786,19.780411293133497,0.5228302544440572,1.5249215754618335,10.369466713140469,1.2635064482398048,4.400487974904148,0.17427675148135238,0.2614151272220286,21.174625304984314,0.2614151272220286,38.25374695015685,3.3112582781456954,0.08713837574067619,4.008365284071105,3.2676890902753573
Lille,19.929961891028942,29.66319909362447,7.6217942115562884,14.574106499124523,2.677927695952209,5.407354001441961,32.28962818003914,24.66783396848285,26.93377278813472,694.7162426614482,30.075187969924812,117.93181584097229,18.539499433515292,106.03563703779997,14.72860232773715,11.020702441034093,23.946853434957255,0.6694819239880523,3.1414151817900917,8.445771964156968,1.3389638479761046,4.840869296528994,0.6179833144505098,0.5149860953754248,35.01905448552889,0.3089916572252549,46.9152332887012,1.6479555052013595,0.051498609537542483,2.008445771964157,2.1629416005767848
Lyon,16.232591788750224,30.837402785313795,8.998010490142882,17.27256285042503,2.622535720745162,6.149394103816241,28.938325194429368,19.985530837402784,21.65852776270573,810.1826731777898,28.667028395731595,102.1432447097124,20.663772834147224,98.57117019352505,18.58383071079761,11.846626876469522,20.889853499728698,0.45216133116295887,2.125158256465907,10.264062217399166,2.1703743895822027,4.7476939772110685,0.4973774642792548,0.22608066558147943,27.807921866521973,0.3617290649303671,44.80918791824922,1.5373485259540602,0.13564839934888767,4.250316512931814,1.6277807921866518
