Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
20,Sat,2/2/19,18:30 (12:30),Schalke 04,0.4,0–2,1.6,M'gladbach,62271,Veltins-Arena,Marco Fritz
20,Sun,2/3/19,15:30 (09:30),Augsburg,3.2,3–0,0.2,Mainz 05,25733,WWK Arena,Sören Storks
20,Sun,2/3/19,18:00 (12:00),Stuttgart,1.2,2–2,1.9,Freiburg,51009,Mercedes-Benz Arena,Deniz Aytekin
,,,,,,,,,,,
21,Fri,2/8/19,20:30 (14:30),Mainz 05,1.7,1–5,2.7,Bayer,21905,Opel Arena,Robert Schröder
21,Sat,2/9/19,15:30 (09:30),RB Leipzig,1.9,0–0,0.4,Eint Frankfurt,38330,Red Bull Arena,Guido Winkmann
21,Sat,2/9/19,15:30 (09:30),Freiburg,1.1,3–3,1.7,Wolfsburg,23600,Schwarzwald-Stadion,Felix Brych
21,Sat,2/9/19,15:30 (09:30),Dortmund,2.5,3–3,1.4,Hoffenheim,81365,Signal Iduna Park,Marco Fritz
21,Sat,2/9/19,15:30 (09:30),M'gladbach,1.1,0–3,1.6,Hertha BSC,48232,Stadion im Borussia-Park,Martin Petersen
21,Sat,2/9/19,15:30 (09:30),Hannover 96,1.7,2–0,1.1,Nürnberg,33700,HDI-Arena,Tobias Welz
21,Sat,2/9/19,18:30 (12:30),Bayern Munich,1.8,3–1,0.8,Schalke 04,75000,Allianz Arena,Daniel Siebert
21,Sun,2/10/19,15:30 (09:30),Werder Bremen,1.3,4–0,1.2,Augsburg,40138,Weserstadion,Manuel Gräfe
21,Sun,2/10/19,18:00 (12:00),Düsseldorf,1.7,3–0,1.3,Stuttgart,40211,Merkur Spielarena,Christian Dingert
,,,,,,,,,,,
22,Fri,2/15/19,20:30 (14:30),Augsburg,0.5,2–3,1.7,Bayern Munich,30660,WWK Arena,Bibiana Steinhaus
22,Sat,2/16/19,15:30 (09:30),Schalke 04,0.4,0–0,0.9,Freiburg,58271,Veltins-Arena,Frank Willenborg
22,Sat,2/16/19,15:30 (09:30),Wolfsburg,2,3–0,0.8,Mainz 05,20334,Volkswagen Arena,Benjamin Cortus
22,Sat,2/16/19,15:30 (09:30),Stuttgart,1.2,1–3,1.2,RB Leipzig,46072,Mercedes-Benz Arena,Felix Zwayer
22,Sat,2/16/19,15:30 (09:30),Hoffenheim,3.1,3–0,0.3,Hannover 96,23404,PreZero Arena,Daniel Siebert
22,Sat,2/16/19,18:30 (12:30),Hertha BSC,1.4,1–1,0.5,Werder Bremen,49627,Olympiastadion Berlin,Sören Storks
22,Sun,2/17/19,15:30 (09:30),Eint Frankfurt,1,1–1,1.2,M'gladbach,51500,Commerzbank-Arena,Deniz Aytekin
22,Sun,2/17/19,18:00 (12:00),Bayer,1.6,2–0,0.2,Düsseldorf,27717,BayArena,Markus Schmidt
22,Mon,2/18/19,20:30 (14:30),Nürnberg,0.3,0–0,1.2,Dortmund,50000,Max-Morlock-Stadion,Harm Osmers
